hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
The Dream Square near India Expo Mart,"₹ 3,000",7.5,Good,2,Noida,One-Bedroom Apartment,1 double bed,+₹ 959 taxes and charges,0,1 night, 2 adults,"₹ 3,000",False,True,2024-04-09,2024-04-10,"Swimming Pool, Free parking"
White House Inn,"₹ 1,399",3.0,Review score,5,"DLF Phase II, Gurgaon",Double or Twin Room with Private Bathroom,6 double beds,+₹ 168 taxes and charges,0,1 night, 2 adults,"₹ 1,399",False,True,2024-04-09,2024-04-10,"Room service, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
SQUARE 9 INN,"₹ 3,099",NA,NA,NA,"Sector 14, Gurgaon",Deluxe King Room,1 large double bed,+₹ 372 taxes and charges,3,1 night, 2 adults,"₹ 3,099",False,True,2024-04-09,2024-04-10,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, 24-hour front desk, Breakfast"
The Aashiyana Residence,"₹ 2,222",7.2,Good,4,"South West, New Delhi",One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",+₹ 267 taxes and charges,0,1 night, 2 adults,"₹ 2,222",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
"BedChambers Serviced Apartments, Sushant Lok","₹ 3,600",8.6,Fabulous,44,Gurgaon,Studio Apartment,1 extra-large double bed,Additional charges may apply,0,1 night, 2 adults,"₹ 3,600",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Free WiFi, Free parking"
OYO Metaguest,"₹ 2,545",4.9,Review score,10,Noida,Classic Triple Room,1 large double bed,+₹ 337 taxes and charges,3,1 night, 2 adults,"₹ 3,916",False,True,2024-04-09,2024-04-10,
OYO Hotel Venus,"₹ 2,572",NA,NA,NA,Ghaziabad,Small Double Room,1 extra-large double bed,+₹ 341 taxes and charges,3,1 night, 2 adults,"₹ 3,957",False,True,2024-04-09,2024-04-10,"Room service, Family rooms"
Hotel Prince Palace,"₹ 1,235",NA,NA,NA,Gurgaon,Double Room with Balcony,"16 beds (4 singles, 12 doubles)",+₹ 148 taxes and charges,0,1 night, 2 adults,"₹ 1,235",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Facilities for disabled guests, Free parking, 24-hour front desk, Breakfast"
FabExpress F9 NSP,"₹ 2,653",10,Exceptional,1,"North Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 318 taxes and charges,3,1 night, 2 adults,"₹ 2,653",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms, 24-hour front desk, Air conditioning, Breakfast"
Water Vibe,"₹ 1,600",8.0,Very good,1,Gurgaon,Deluxe Double Room,"10 beds (2 singles, 3 doubles, 2 extra-large doubles, 3 large doubles)",+₹ 192 taxes and charges,0,1 night, 2 adults,"₹ 1,600",False,True,2024-04-09,2024-04-10,"Swimming Pool, Free WiFi, Free parking, Breakfast"
HOTEL TOTO INTERNATIONAL BY WB INN,"₹ 1,800",6.5,Review score,2,"Paharganj, New Delhi",Deluxe Room,1 large double bed,+₹ 216 taxes and charges,0,1 night, 2 adults,"₹ 1,800",False,True,2024-04-09,2024-04-10,"Airport shuttle, Room service, Free WiFi, Family rooms, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Kelvish Hotel-Delhi Airport,"₹ 2,759",6.8,Review score,160,"South West, New Delhi",Large Double Room,1 double bed,+₹ 331 taxes and charges,3,1 night, 2 adults,"₹ 4,599",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, Tea/coffee maker in all rooms, Breakfast"
dreamhomz,₹ 700,8.0,Very good,1,Gurgaon,Double Room,5 double beds,+₹ 84 taxes and charges,0,1 night, 2 adults,₹ 700,False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking"
Bed & Breakfast,"₹ 2,200",NA,NA,NA,"Palam Vihar, Gurgaon",Double Room with Private Bathroom,"18 beds (6 singles, 6 doubles, 2 extra-large doubles, 4 large doubles)",+₹ 264 taxes and charges,0,1 night, 2 adults,"₹ 2,200",True,True,2024-04-09,2024-04-10,"Free WiFi, Free parking, Bar"
Pushpanjali Residency,"₹ 1,395",NA,NA,NA,"South West, New Delhi",Deluxe King Room,1 large double bed,+₹ 167 taxes and charges,2,1 night, 2 adults,"₹ 1,395",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Air conditioning, Breakfast"
Shaw Estate-Cozy Rooms in Farm House-Mehra Farm,"₹ 13,499",NA,NA,NA,Greater Noida,One-Bedroom Apartment,1 double bed,"+₹ 2,430 taxes and charges",0,1 night, 2 adults,"₹ 13,499",False,False,2024-04-09,2024-04-10,"Free WiFi, Free parking"
The Millennial Square near IndiaExpo Mart,"₹ 3,000",7.7,Good,4,Noida,One-Bedroom Apartment,1 double bed,+₹ 959 taxes and charges,0,1 night, 2 adults,"₹ 3,000",False,True,2024-04-09,2024-04-10,Free parking
Kirpa home,"₹ 2,720",NA,NA,NA,Faridabad,One-Bedroom Apartment,1 double bed,+₹ 326 taxes and charges,0,1 night, 2 adults,"₹ 3,400",False,True,2024-04-09,2024-04-10,Free parking
Ishita Homestay,"₹ 2,000",NA,NA,NA,"South Delhi, New Delhi",Two-Bedroom Apartment,"2 beds (1 single, 1 double)",+₹ 240 taxes and charges,0,1 night, 2 adults,"₹ 2,000",False,True,2024-04-09,2024-04-10,"Free WiFi, Free parking, Terrace, Air conditioning"
Hotel Crystal Deluxe,"₹ 1,400",7.5,Good,57,"Paharganj, New Delhi",Deluxe Room,1 double bed,+₹ 168 taxes and charges,2,1 night, 2 adults,"₹ 2,333",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, 24-hour front desk, Terrace, Fabulous breakfast"
Hotel Emperor Palms 2Min walk from Karol Bagh metro station,"₹ 3,100",2.0,Review score,1,"Karol bagh, New Delhi",Emperor Room,Beds: 1 double or 2 singles,+₹ 372 taxes and charges,3,1 night, 2 adults,"₹ 3,100",True,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Facilities for disabled guests, 24-hour front desk, Terrace, Laundry, Tea/coffee maker in all rooms, Breakfast"
manu residency hotel greater Noida,₹ 899,2.3,Review score,3,Greater Noida,Deluxe King Room,1 double bed,+₹ 108 taxes and charges,0,1 night, 2 adults,₹ 899,False,True,2024-04-09,2024-04-10,Free WiFi
MUNNA BHAIYA KI HAVELI,"₹ 1,567",NA,NA,NA,Alwar,Two-Bedroom Apartment,2 double beds,+₹ 188 taxes and charges,0,1 night, 2 adults,"₹ 1,567",False,True,2024-04-09,2024-04-10,"Free WiFi, Family rooms, Free parking"
The Grand Suites 122,"₹ 2,529",NA,NA,NA,Ghaziabad,Deluxe Double Room with Balcony,1 single bed,+₹ 303 taxes and charges,0,1 night, 2 adults,"₹ 2,529",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Family rooms, Free parking, Breakfast"
Shaw Estate-Near Expo Mart-Arora Farm,"₹ 4,859",NA,NA,NA,Greater Noida,Double Room with Garden View,"2 beds (1 double, 1 extra-large double)",+₹ 583 taxes and charges,0,1 night, 2 adults,"₹ 4,859",False,True,2024-04-09,2024-04-10,"Swimming Pool, Free parking, Tea/coffee maker in all rooms"
