hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Courtyard by Marriott Aravali Resort,"₹ 15,500",8.9,Fabulous,46,Faridabad,Deluxe King Room with Balcony,Beds: 1 double or 2 singles,"+₹ 2,790 taxes and charges",5,1 night, 2 adults,"₹ 15,500",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 1,696",7.5,Good,"3,833","South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 204 taxes and charges,4,1 night, 2 adults,"₹ 2,609",False,True,2023-06-06,2023-06-07,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Family rooms, 24-hour front desk, Laundry, Breakfast"
Avatar Living @Safdarjung Enclave,"₹ 5,709",8.9,Fabulous,277,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 large double bed,+₹ 685 taxes and charges,0,1 night, 2 adults,"₹ 6,487",True,True,2023-06-06,2023-06-07,"Airport shuttle (free), Non-smoking rooms, Room service, Free WiFi, Free parking, Family rooms, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms"
The Dadhikar Fort Hotel,"₹ 5,084",7.5,Good,53,Alwar,Deluxe Room,1 double bed,+₹ 610 taxes and charges,4,1 night, 2 adults,"₹ 5,649",True,True,2023-06-06,2023-06-07,"Free parking, Airport shuttle, Family rooms, Non-smoking rooms, Very good breakfast"
Hotel Clayton near IGI airport Delhi,₹ 924,7.5,Good,155,"South West, New Delhi",Double Room,1 double bed,+₹ 111 taxes and charges,4,1 night, 2 adults,"₹ 2,309",True,True,2023-06-06,2023-06-07,"Non-smoking rooms, Spa and wellness centre, Room service, Free WiFi, Free parking, Family rooms, 24-hour front desk, Bar, Tea/coffee maker in all rooms, Superb breakfast"
"Holiday Inn New Delhi International Airport, an IHG Hotel","₹ 8,023",7.8,Good,"5,509","South West, New Delhi",Standard King Room - Disability Access,1 extra-large double bed,"+₹ 1,444 taxes and charges",5,1 night, 2 adults,"₹ 8,023",False,False,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Saltstayz Le Icon - Cyber Hub,"₹ 4,142",8.9,Fabulous,133,"DLF Cyber City, Gurgaon",Deluxe Room,1 extra-large double bed,+₹ 497 taxes and charges,3,1 night, 2 adults,"₹ 4,361",True,True,2023-06-06,2023-06-07,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Family rooms, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
Hotel International Inn - Near Delhi Airport,"₹ 2,429",7.7,Good,798,"Mahipalpur, New Delhi",Compact Room,1 extra-large double bed,+₹ 292 taxes and charges,3,1 night, 2 adults,"₹ 2,699",False,True,2023-06-06,2023-06-07,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Family rooms, 24-hour front desk, Laundry, Fabulous breakfast"
Maidens Hotel New Delhi,"₹ 7,000",9.4,Superb,976,"North Delhi, New Delhi",Heritage Room,1 extra-large double bed,+₹ 840 taxes and charges,5,1 night, 2 adults,"₹ 7,000",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Exceptional breakfast"
Hotel Admire Inn By F9 Hotels,"₹ 2,699",8.0,Very good,269,Ghaziabad,Deluxe Double Room,1 extra-large double bed,+₹ 324 taxes and charges,3,1 night, 2 adults,"₹ 2,699",False,True,2023-06-06,2023-06-07,"Room service, Restaurant, Free WiFi, Free parking, Superb breakfast"
Park Plaza Faridabad,"₹ 4,000",7.0,Good,309,Faridabad,Superior Double or Twin Room,Beds: 1 double or 2 singles,+₹ 480 taxes and charges,4,1 night, 2 adults,"₹ 4,000",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Good breakfast"
Novotel New Delhi Aerocity- International Airport,"₹ 13,500",7.7,Good,"5,342","South West, New Delhi",Standard King Room with WiFi,1 double bed,"+₹ 2,430 taxes and charges",5,1 night, 2 adults,"₹ 13,500",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Very good breakfast"
Radisson Blu Plaza Delhi Airport,"₹ 10,170",8.1,Very good,"5,625","Mahipalpur, New Delhi",Superior Room with Happy Hours 03:00 PM to 06:00 PM 1+1 & Free Pick up and drop to Worldmark Aerocity (subject to car availability),Beds: 1 double or 2 singles,"+₹ 2,339 taxes and charges",5,1 night, 2 adults,"₹ 10,170",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hindustan- by Backpackers Heaven,"₹ 1,652",7.6,Good,"1,217","Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 198 taxes and charges,4,1 night, 2 adults,"₹ 1,835",False,False,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Free WiFi, Free parking, Family rooms, Terrace, Laundry, Daily housekeeping, Air conditioning"
"Hotel Abhinandan, Panipat","₹ 1,620",6.3,Review score,6,Pānīpat,Deluxe Room,"2 beds (1 double, 1 futon)",+₹ 194 taxes and charges,4,1 night, 2 adults,"₹ 1,620",False,True,2023-06-06,2023-06-07,"Free parking, Restaurant, Room service, Breakfast"
"Staybook - Hotel Jyoti Mahal New Delhi Railway Station, Paharganj","₹ 3,299",8.0,Very good,98,"Paharganj, New Delhi",Deluxe Double Room,1 double bed,+₹ 396 taxes and charges,4,1 night, 2 adults,"₹ 5,499",False,True,2023-06-06,2023-06-07,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Family rooms, Breakfast"
House of Comfort Greater Noida,"₹ 3,248",8.9,Fabulous,226,Greater Noida,Superior King Room,1 extra-large double bed,+₹ 390 taxes and charges,0,1 night, 2 adults,"₹ 3,248",False,True,2023-06-06,2023-06-07,"Non-smoking rooms, Restaurant, Free WiFi, Free parking, Family rooms"
SaltStayz Sector 39 - Subhash Chowk,"₹ 2,907",8.4,Very good,86,"Sector 40 - 44, Gurgaon",Double Room with Balcony,1 extra-large double bed,+₹ 349 taxes and charges,3,1 night, 2 adults,"₹ 2,907",True,True,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Free WiFi, Free parking, 24-hour front desk, Very good breakfast"
Utsav Camp Sariska,"₹ 9,500",8.2,Very good,21,Tehla,Tent,Tent,"+₹ 1,710 taxes and charges",3,1 night, 2 adults,"₹ 9,500",True,False,2023-06-06,2023-06-07,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Breakfast"
"Holiday Inn Gurugram Sector 90, an IHG Hotel","₹ 5,616",7.5,Good,"1,068",Gurgaon,STANDARD ROOM NS WITH 10% DISC ON F&B,Beds: 1 double or 2 singles,+₹ 674 taxes and charges,5,1 night, 2 adults,"₹ 5,616",False,False,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Very good breakfast"
Hotel Grand Tushar-Ghaziabad Railway Station,"₹ 1,169",7.8,Good,86,Ghaziabad,Double Room with Private Bathroom,1 extra-large double bed,+₹ 140 taxes and charges,3,1 night, 2 adults,"₹ 1,799",False,True,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Free parking, Family rooms, Fabulous breakfast"
Ramada Neemrana,"₹ 4,750",6.4,Review score,248,Neemrana,King Room - Non-Smoking,1 double bed,+₹ 570 taxes and charges,4,1 night, 2 adults,"₹ 4,750",True,True,2023-06-06,2023-06-07,"Room service, Free parking, Restaurant, Free WiFi, Non-smoking rooms, Fitness centre, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Breakfast"
OYO Mide Highway Hotel & Restaurant,₹ 730,5.5,Review score,2,Khurja,Standard Double Room,1 large double bed,+₹ 112 taxes and charges,3,1 night, 2 adults,"₹ 1,122",False,True,2023-06-06,2023-06-07,Room service
The Gateway Resort Damdama Lake,"₹ 8,999",7.5,Good,394,Gurgaon,Superior Resort Room Courtyard View Twin Bed,1 single bed,"+₹ 1,620 taxes and charges",5,1 night, 2 adults,"₹ 8,999",True,True,2023-06-06,2023-06-07,"Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Bar, Good breakfast"
"Taj Palace, New Delhi","₹ 11,500",8.6,Fabulous,"3,936","Chanakyapuri, New Delhi","Superior Room, Queen Bed",1 large double bed,"+₹ 2,070 taxes and charges",5,1 night, 2 adults,"₹ 11,500",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Townhouse 86392 Parker Plaza,"₹ 1,386",5.5,Review score,6,Rāi,Classic Triple Room,1 extra-large double bed,+₹ 222 taxes and charges,4,1 night, 2 adults,"₹ 2,828",False,True,2023-06-06,2023-06-07,"Family rooms, Restaurant, Room service, Breakfast"
Aloft New Delhi Aerocity,"₹ 8,750",8.2,Very good,"2,804","South West, New Delhi","2 Twin/Single Beds, City View, Aloft Room",2 single beds,"+₹ 1,575 taxes and charges",5,1 night, 2 adults,"₹ 8,750",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Leela Palace New Delhi,"₹ 20,075",9.0,Superb,795,"South Delhi, New Delhi",Grand Deluxe Room,1 extra-large double bed,"+₹ 3,614 taxes and charges",5,1 night, 2 adults,"₹ 20,075",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Fabulous breakfast"
Treebo Trend Grand Town House,"₹ 2,662",7.3,Good,57,Faridabad,Deluxe Double Room,1 large double bed,+₹ 319 taxes and charges,3,1 night, 2 adults,"₹ 5,664",True,True,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Family rooms"
The Leela Ambience Gurugram Hotel & Residences,"₹ 18,000",8.8,Fabulous,"1,640","DLF Cyber City, Gurgaon",Deluxe King Room,1 extra-large double bed,"+₹ 3,240 taxes and charges",5,1 night, 2 adults,"₹ 18,000",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Bar, Fabulous breakfast"
FabExpress Indraprastha,"₹ 1,457",7.9,Good,10,"East Delhi, New Delhi",Deluxe Room,1 large double bed,+₹ 175 taxes and charges,3,1 night, 2 adults,"₹ 2,973",False,True,2023-06-06,2023-06-07,"Free WiFi, Free parking"
Saltstayz Grand Sky - Unitech Cyber Park,"₹ 4,725",9.4,Superb,81,"Sector 40 - 44, Gurgaon",Studio with Balcony,Entire studio • 1 bathroom • 1 kitchen • 41m²,+₹ 567 taxes and charges,4,1 night, 2 adults,"₹ 6,300",True,True,2023-06-06,2023-06-07,"Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Exceptional breakfast"
The Westin Sohna Resort & Spa,"₹ 13,800",8.4,Very good,394,Gurgaon,"Premier Room, Guest room, 1 King, Garden view",1 extra-large double bed,"+₹ 2,484 taxes and charges",5,1 night, 2 adults,"₹ 13,800",True,True,2023-06-06,2023-06-07,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
