hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Aerotech plaza,₹ 831,8.9,Fabulous,17,"South West, New Delhi",Deluxe Room,1 large double bed,+₹ 100 taxes and charges,4,1 night, 2 adults,"₹ 2,078",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Fitness centre, Family rooms, Free parking, 24-hour front desk, Air conditioning, Tea/coffee maker in all rooms, Breakfast"
Hotel Sunstar Heritage,"₹ 3,400",7.7,Good,203,"Karol bagh, New Delhi",Deluxe Room,1 large double bed,+₹ 408 taxes and charges,3,1 night, 2 adults,"₹ 3,400",False,True,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
ibis Gurgaon Golf Course Road - An Accor Brand,"₹ 4,749",7.2,Good,"1,144","Golf Course Road, Gurgaon",Standard Queen Room,1 large double bed,+₹ 570 taxes and charges,4,1 night, 2 adults,"₹ 4,749",False,False,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free WiFi, Private parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Prakash Kutir B&B,"₹ 3,500",8.7,Fabulous,122,"Hauz Khas, New Delhi",Deluxe Double Room,1 large double bed,+₹ 420 taxes and charges,0,1 night, 2 adults,"₹ 3,500",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Restaurant, Family rooms, Free WiFi, Free parking, Terrace, Garden, Laundry, Tea/coffee maker in all rooms, Breakfast"
FabHotel Lime Tree,"₹ 1,702",8.1,Very good,129,"Dwarka, New Delhi",Deluxe Room,1 large double bed,+₹ 204 taxes and charges,3,1 night, 2 adults,"₹ 3,699",False,True,2023-08-01,2023-08-02,"Airport shuttle, Room service, Facilities for disabled guests, 24-hour front desk, Laundry, Daily housekeeping"
Treebo Trend Paras International Karol Bagh,"₹ 4,941",7.2,Good,109,"Karol bagh, New Delhi",Standard Double Room,Multiple bed types,+₹ 593 taxes and charges,3,1 night, 2 adults,"₹ 11,229",True,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms"
Hotel Anand International,"₹ 2,579",6.8,Review score,89,"Mahipalpur, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 310 taxes and charges,4,1 night, 2 adults,"₹ 3,968",False,False,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Spa and wellness centre, Room service, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Fabulous breakfast"
Amax Inn,"₹ 1,256",6.2,Review score,51,"Paharganj, New Delhi",Deluxe Double Room,1 double bed,+₹ 151 taxes and charges,2,1 night, 2 adults,"₹ 1,395",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Breakfast"
HOTEL ELITE OAK,"₹ 2,268",8.3,Very good,90,Gurgaon,Deluxe Double Room,1 double bed,+₹ 272 taxes and charges,0,1 night, 2 adults,"₹ 2,268",False,False,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Flagship Ligree Hotel,"₹ 1,257",1.5,Review score,2,Bhiwadi,Classic Triple Room,1 large double bed,+₹ 183 taxes and charges,3,1 night, 2 adults,"₹ 2,566",False,True,2023-08-01,2023-08-02,Room service
Grand Godwin Near NDLS Railway Station- Paharganj,"₹ 3,000",7.1,Good,241,"Paharganj, New Delhi",Standard Double or Twin Room,Beds: 1 double or 2 singles,+₹ 360 taxes and charges,3,1 night, 2 adults,"₹ 4,000",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Good breakfast"
Rose Residency - Dwarka Sec 9,"₹ 1,299",4.7,Review score,30,"Dwarka, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 156 taxes and charges,3,1 night, 2 adults,"₹ 1,299",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Air conditioning"
The Alpino Hotel,"₹ 2,475",7.0,Good,132,"Mahipalpur, New Delhi",Deluxe Double Room,1 large double bed,+₹ 297 taxes and charges,4,1 night, 2 adults,"₹ 4,500",False,True,2023-08-01,2023-08-02,"Room service, Family rooms, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms, Superb breakfast"
OYO Hotel Vivaan Residency,"₹ 1,214",4.2,Review score,19,Rohtak,Classic Triple Room,1 large double bed,+₹ 170 taxes and charges,3,1 night, 2 adults,"₹ 2,477",False,True,2023-08-01,2023-08-02,
The Palm Spring a Boutique Hotel Naraina New Delhi,"₹ 2,381",4.4,Review score,51,"West Delhi, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 large double bed,+₹ 286 taxes and charges,4,1 night, 2 adults,"₹ 8,505",False,False,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Breakfast"
Hotel Amar International,₹ 999,7.3,Good,197,"Paharganj, New Delhi",Standard Double or Twin Room,1 double bed,+₹ 120 taxes and charges,3,1 night, 2 adults,"₹ 1,665",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Airport Hotel Le Seasons New Delhi,"₹ 5,058",7.0,Good,115,"Mahipalpur, New Delhi",Superior Double or Twin Room,Multiple bed types,+₹ 607 taxes and charges,4,1 night, 2 adults,"₹ 5,058",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Breakfast"
Mayda Inn- A Boutique Hotel,"₹ 1,684",7.5,Good,461,"Mahipalpur, New Delhi",Classic Triple Room,3 single beds,+₹ 202 taxes and charges,3,1 night, 2 adults,"₹ 4,319",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Tea/coffee maker in all rooms, Breakfast"
FabHotel Qotel Rohini Church House,"₹ 1,426",7.1,Good,34,"Rohini, New Delhi",Deluxe Room,1 large double bed,+₹ 171 taxes and charges,3,1 night, 2 adults,"₹ 3,100",False,True,2023-08-01,2023-08-02,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Air conditioning, Breakfast"
Capital O Hotel Imperial Boutique,"₹ 1,381",6.4,Review score,14,"West Delhi, New Delhi",Deluxe Triple Room,1 extra-large double bed,+₹ 198 taxes and charges,3,1 night, 2 adults,"₹ 2,818",False,True,2023-08-01,2023-08-02,
