hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 1,350",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,350",False,True,2023-08-05,2023-08-06,
"THE SINGH EMPIRE, New Delhi","₹ 2,550",8.0,Very good,"1,169","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 306 taxes and charges,4,1 night, 2 adults,"₹ 3,750",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Black Stone - Vasundhara - Near Vaishali Metro,"₹ 1,599",7.9,Good,21,Ghaziabad,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 192 taxes and charges,3,1 night, 2 adults,"₹ 1,599",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking"
Hotel Tripple Tree - Karol Bagh,"₹ 4,499",8.0,Very good,225,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,+₹ 540 taxes and charges,4,1 night, 2 adults,"₹ 4,499",True,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 3,038",8.6,Fabulous,112,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,+₹ 364 taxes and charges,3,1 night, 2 adults,"₹ 4,050",True,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Free WiFi, Free parking, Good breakfast"
The Vivaan Hotel & Resorts,"₹ 12,099",7.3,Good,61,Karnāl,Standard Double Room,1 large double bed,"+₹ 2,178 taxes and charges",0,1 night, 2 adults,"₹ 12,099",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Bar, Breakfast"
"Amritara Chandra Mahal Haveli, Bharatpur","₹ 4,393",7.7,Good,49,Bharatpur,Heritage Room,"2 beds (1 extra-large double, 1 futon)",+₹ 527 taxes and charges,4,1 night, 2 adults,"₹ 4,393",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Free WiFi, Free parking, Restaurant, Non-smoking rooms, Room service, Tea/coffee maker in all rooms, Good breakfast"
The Vertigo,"₹ 3,404",8.0,Very good,122,Noida,Deluxe Room,1 large double bed,+₹ 409 taxes and charges,3,1 night, 2 adults,"₹ 3,404",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Very good breakfast"
Flora Residency,"₹ 2,551",7.5,Good,386,"Sector 40 - 44, Gurgaon",Double or Twin Room,1 extra-large double bed,+₹ 306 taxes and charges,3,1 night, 2 adults,"₹ 2,551",True,True,2023-08-05,2023-08-06,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 7,000",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 840 taxes and charges,5,1 night, 2 adults,"₹ 7,000",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Neemrana Fort-Palace,"₹ 8,000",7.5,Good,709,Neemrana,Heritage Romance Room,1 double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Spa and wellness centre, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 11,700",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 2,106 taxes and charges",5,1 night, 2 adults,"₹ 14,625",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 7,999",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 1,440 taxes and charges",5,1 night, 2 adults,"₹ 7,999",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 12,049",8.0,Very good,731,Greater Noida,Standard King or Twin Bed Room,1 large double bed,"+₹ 2,169 taxes and charges",5,1 night, 2 adults,"₹ 12,049",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Paradise International - 5 min from Delhi Airport,"₹ 1,439",9.7,Exceptional,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,399",True,True,2023-08-05,2023-08-06,"Indoor swimming pool, Airport shuttle, Spa and wellness centre, Room service, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Bar, Breakfast"
Hotel Leela Grande,"₹ 7,900",7.7,Good,47,Karnāl,Club Luxuria,1 double bed,+₹ 948 taxes and charges,3,1 night, 2 adults,"₹ 7,900",False,False,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Good breakfast"
Shivir Aranya,"₹ 7,500",8.8,Fabulous,108,Alwar,Cottage,2 extra-large double beds,+₹ 900 taxes and charges,0,1 night, 2 adults,"₹ 7,500",True,True,2023-08-05,2023-08-06,"Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms"
Courtyard by Marriott Aravali Resort,"₹ 20,000",8.6,Fabulous,48,Faridabad,Deluxe King Room with Balcony,Beds: 1 double or 2 singles,"+₹ 3,600 taxes and charges",5,1 night, 2 adults,"₹ 20,000",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 1,884",7.5,Good,"3,837","South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 226 taxes and charges,4,1 night, 2 adults,"₹ 2,899",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Breakfast"
Avatar Living @Safdarjung Enclave,"₹ 6,487",8.9,Fabulous,277,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 large double bed,+₹ 778 taxes and charges,0,1 night, 2 adults,"₹ 6,487",True,True,2023-08-05,2023-08-06,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms"
The Dadhikar Fort Hotel,"₹ 6,554",7.5,Good,53,Alwar,Deluxe Room,1 double bed,+₹ 786 taxes and charges,4,1 night, 2 adults,"₹ 6,899",True,True,2023-08-05,2023-08-06,"Free parking, Airport shuttle, Family rooms, Non-smoking rooms, Very good breakfast"
Radisson Blu Kaushambi Delhi NCR,"₹ 6,300",7.2,Good,548,Ghaziabad,Superior Double or Twin Room,Multiple bed types,+₹ 756 taxes and charges,5,1 night, 2 adults,"₹ 6,300",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Holiday Inn New Delhi International Airport, an IHG Hotel","₹ 9,098",7.8,Good,"5,511","South West, New Delhi",One King Bed Standard- Non-Smoking,1 extra-large double bed,"+₹ 1,638 taxes and charges",5,1 night, 2 adults,"₹ 9,098",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Saltstayz Le Icon - Cyber Hub,"₹ 3,848",8.9,Fabulous,133,"DLF Cyber City, Gurgaon",Deluxe Room,1 extra-large double bed,+₹ 462 taxes and charges,3,1 night, 2 adults,"₹ 5,130",True,True,2023-08-05,2023-08-06,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
Hotel International Inn - Near Delhi Airport,"₹ 2,699",7.7,Good,800,"Mahipalpur, New Delhi",Compact Room,1 extra-large double bed,+₹ 324 taxes and charges,3,1 night, 2 adults,"₹ 2,699",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Laundry, Fabulous breakfast"
Maidens Hotel New Delhi,"₹ 7,500",9.4,Superb,979,"North Delhi, New Delhi",Heritage Room,1 extra-large double bed,+₹ 900 taxes and charges,5,1 night, 2 adults,"₹ 7,500",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Exceptional breakfast"
Hotel Admire Inn By F9 Hotels,"₹ 2,699",8.0,Very good,269,Ghaziabad,Deluxe Double Room,1 extra-large double bed,+₹ 324 taxes and charges,3,1 night, 2 adults,"₹ 2,699",False,True,2023-08-05,2023-08-06,"Room service, Restaurant, Free WiFi, Free parking, Superb breakfast"
Park Plaza Faridabad,"₹ 8,000",6.9,Review score,311,Faridabad,Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Good breakfast"
Sariska Courtyard by Armr Hospitality,"₹ 9,999",8.5,Very good,2,Tehla,Superior Family Room,1 large double bed,"+₹ 1,800 taxes and charges",3,1 night, 2 adults,"₹ 9,999",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Family rooms, Airport shuttle, Tea/coffee maker in all rooms, Breakfast"
Novotel New Delhi Aerocity- International Airport,"₹ 20,500",7.7,Good,"5,342","South West, New Delhi",Standard King Room with WiFi,1 double bed,"+₹ 3,690 taxes and charges",5,1 night, 2 adults,"₹ 20,500",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Bar, Very good breakfast"
Radisson Blu Plaza Delhi Airport,"₹ 11,070",8.1,Very good,"5,625","Mahipalpur, New Delhi",Superior Room with Happy Hours 03:00 PM to 06:00 PM 1+1 & Free Pick up and drop to Worldmark Aerocity (subject to car availability),Beds: 1 double or 2 singles,"+₹ 2,546 taxes and charges",5,1 night, 2 adults,"₹ 11,070",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hindustan- by Backpackers Heaven,"₹ 1,835",7.6,Good,"1,220","Paharganj, New Delhi",Deluxe Twin Room,1 single bed,+₹ 220 taxes and charges,4,1 night, 2 adults,"₹ 1,835",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, Terrace, Laundry, Daily housekeeping, Air conditioning"
"Hotel Abhinandan, Panipat","₹ 1,620",6.3,Review score,6,Pānīpat,Deluxe Room,"2 beds (1 double, 1 futon)",+₹ 194 taxes and charges,4,1 night, 2 adults,"₹ 1,620",False,True,2023-08-05,2023-08-06,"Free parking, Restaurant, Room service, Breakfast"
"Staybook - Hotel Jyoti Mahal New Delhi Railway Station, Paharganj","₹ 3,299",8.0,Very good,101,"Paharganj, New Delhi",Deluxe Double Room,1 double bed,+₹ 396 taxes and charges,4,1 night, 2 adults,"₹ 5,499",False,True,2023-08-05,2023-08-06,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, Breakfast"
House of Comfort Greater Noida,"₹ 5,748",8.9,Fabulous,226,Greater Noida,Superior King Room,1 extra-large double bed,+₹ 690 taxes and charges,0,1 night, 2 adults,"₹ 5,748",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Restaurant, Family rooms, Free WiFi, Free parking"
Premium Residency - Sector 15,"₹ 1,349",3.3,Review score,6,Noida,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,349",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
SaltStayz Sector 39 - Subhash Chowk,"₹ 3,443",8.4,Very good,86,"Sector 40 - 44, Gurgaon",Double Room with Balcony,1 extra-large double bed,+₹ 413 taxes and charges,3,1 night, 2 adults,"₹ 3,443",True,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Free WiFi, Free parking, 24-hour front desk, Very good breakfast"
Utsav Camp Sariska,"₹ 14,500",8.2,Very good,21,Tehla,Superior Double Room,1 double bed,"+₹ 2,610 taxes and charges",3,1 night, 2 adults,"₹ 14,500",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Breakfast"
"Holiday Inn Gurugram Sector 90, an IHG Hotel","₹ 5,355",7.5,Good,"1,069",Gurgaon,1 NS KING BED STANDARD WITH 10% DISCOUNT ON F&B,1 double bed,+₹ 643 taxes and charges,5,1 night, 2 adults,"₹ 5,355",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Tea/coffee maker in all rooms, Very good breakfast"
Days Hotel Neemrana,"₹ 2,975",6.8,Review score,148,Neemrana,Premium King Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 1,999",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Family rooms, Free parking, Fabulous breakfast"
Ramada Neemrana,"₹ 4,750",6.5,Review score,249,Neemrana,King Room - Non-Smoking,1 double bed,+₹ 570 taxes and charges,4,1 night, 2 adults,"₹ 4,750",True,True,2023-08-05,2023-08-06,"Room service, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Breakfast"
OYO Mide Highway Hotel & Restaurant,"₹ 1,240",5.5,Review score,2,Khurja,Standard Double Room,1 large double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,530",False,True,2023-08-05,2023-08-06,Room service
The Gateway Resort Damdama Lake,"₹ 18,000",7.5,Good,394,Gurgaon,Superior Resort Room Courtyard View Twin Bed,1 single bed,"+₹ 3,240 taxes and charges",5,1 night, 2 adults,"₹ 18,000",True,True,2023-08-05,2023-08-06,"Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Bar, Good breakfast"
"Taj Palace, New Delhi","₹ 16,250",8.6,Fabulous,"3,936","Chanakyapuri, New Delhi","Superior Room, Queen Bed",1 large double bed,"+₹ 2,925 taxes and charges",5,1 night, 2 adults,"₹ 16,250",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Townhouse 86392 Parker Plaza,"₹ 1,329",5.5,Review score,6,Rāi,Classic Triple Room,1 extra-large double bed,+₹ 215 taxes and charges,4,1 night, 2 adults,"₹ 2,045",False,True,2023-08-05,2023-08-06,"Family rooms, Restaurant, Room service, Breakfast"
Aloft New Delhi Aerocity,"₹ 10,450",8.2,Very good,"2,806","South West, New Delhi","2 Twin/Single Beds, City View, Aloft Room",2 single beds,"+₹ 1,881 taxes and charges",5,1 night, 2 adults,"₹ 10,450",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Leela Palace New Delhi,"₹ 24,000",9.0,Superb,797,"South Delhi, New Delhi",Grand Deluxe Room,1 extra-large double bed,"+₹ 4,320 taxes and charges",5,1 night, 2 adults,"₹ 24,000",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Fabulous breakfast"
Treebo Trend Grand Town House,"₹ 6,328",7.3,Good,57,Faridabad,Deluxe Double Room,1 large double bed,+₹ 759 taxes and charges,3,1 night, 2 adults,"₹ 13,464",True,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking"
The Leela Ambience Gurugram Hotel & Residences,"₹ 21,000",8.8,Fabulous,"1,640","DLF Cyber City, Gurgaon",Deluxe King Room,1 extra-large double bed,"+₹ 3,780 taxes and charges",5,1 night, 2 adults,"₹ 21,000",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Bar, Fabulous breakfast"
FabExpress Indraprastha,"₹ 2,973",7.9,Good,10,"East Delhi, New Delhi",Deluxe Room,1 large double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,973",False,True,2023-08-05,2023-08-06,"Free WiFi, Free parking"
Saltstayz Grand Sky - Unitech Cyber Park,"₹ 4,793",9.4,Superb,81,"Sector 40 - 44, Gurgaon",Suite with Balcony,1 double bed,+₹ 575 taxes and charges,4,1 night, 2 adults,"₹ 6,390",True,True,2023-08-05,2023-08-06,"Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
The Westin Sohna Resort & Spa,"₹ 20,500",8.4,Very good,394,Gurgaon,"Premier Room, Guest room, 1 King, Garden view",1 extra-large double bed,"+₹ 3,690 taxes and charges",5,1 night, 2 adults,"₹ 20,500",True,True,2023-08-05,2023-08-06,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Sakura by Maps,"₹ 3,899",7.4,Good,80,"Sector 40 - 44, Gurgaon",Standard Double Room,1 double bed,+₹ 468 taxes and charges,4,1 night, 2 adults,"₹ 5,199",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
"ITC Grand Bharat, a Luxury Collection Retreat, Gurgaon, New Delhi Capital Region","₹ 26,500",8.6,Fabulous,201,Gurgaon,Deluxe Suite with Terrace,1 large double bed,"+₹ 4,770 taxes and charges",5,1 night, 2 adults,"₹ 26,500",True,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Bar, Good breakfast"
Joey's Hostel,"₹ 2,564",8.3,Very good,"1,107","East Delhi, New Delhi",Deluxe Double Room,1 extra-large double bed,+₹ 308 taxes and charges,0,1 night, 2 adults,"₹ 2,564",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Free WiFi, Parking on site, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
Hyatt Regency Delhi,"₹ 10,800",7.7,Good,"2,202","South Delhi, New Delhi",Twin Room,2 single beds,"+₹ 2,581 taxes and charges",5,1 night, 2 adults,"₹ 10,800",False,True,2023-08-05,2023-08-06,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Pullman New Delhi Aerocity- International Airport,"₹ 25,500",8.2,Very good,"2,461","South West, New Delhi","Deluxe King Room with Bathtub ,Free WiFi",1 large double bed,"+₹ 4,590 taxes and charges",5,1 night, 2 adults,"₹ 25,500",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Bar, Very good breakfast"
Hotel namo,₹ 624,8.0,Very good,48,Alwar,Deluxe Double Room,1 double bed,+₹ 75 taxes and charges,0,1 night, 2 adults,₹ 624,False,True,2023-08-05,2023-08-06,"Free WiFi, Free parking, Family rooms, Non-smoking rooms, Room service, Tea/coffee maker in all rooms"
Sandal Suites by Lemon Tree Hotels,"₹ 9,509",7.4,Good,302,Noida,Standard Twin Room,2 large double beds,"+₹ 2,834 taxes and charges",5,1 night, 2 adults,"₹ 15,849",False,True,2023-08-05,2023-08-06,"Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Good breakfast"
"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel","₹ 8,757",8.2,Very good,"2,190","Mayur Vihar Phase 1, New Delhi",Superior King or Twin Room with 4 pints beer and 15% off on Food & Soft Beverages and SPA,Beds: 1 double or 2 singles,"+₹ 1,576 taxes and charges",5,1 night, 2 adults,"₹ 8,757",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Bar, Good breakfast"
The Gaurs Sarovar Portico,"₹ 6,749",7.4,Good,80,Ghaziabad,Deluxe Room 1 Double Bed,NA,+₹ 810 taxes and charges,4,1 night, 2 adults,"₹ 6,749",False,True,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Breakfast"
Aadvan Farmhouse,"₹ 9,450",NA,NA,NA,Sohna,Double Room with Balcony,"4 beds (2 doubles, 2 large doubles)","+₹ 1,701 taxes and charges",0,1 night, 2 adults,"₹ 9,450",True,True,2023-08-05,2023-08-06,"Swimming Pool, Free WiFi, Free parking"
The Prime Delhi,"₹ 3,750",8.3,Very good,"1,568","Paharganj, New Delhi",Superior Double or Twin Room,Multiple bed types,+₹ 450 taxes and charges,4,1 night, 2 adults,"₹ 5,000",False,True,2023-08-05,2023-08-06,"Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Tea/coffee maker in all rooms, Very good breakfast"
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","₹ 8,591",7.5,Good,"1,919","Mayur Vihar Phase 1, New Delhi",1 king Bed Standard,1 extra-large double bed,"+₹ 1,546 taxes and charges",5,1 night, 2 adults,"₹ 8,591",False,False,2023-08-05,2023-08-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
