hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Atithi Suites - An AHG Hotel,"₹ 2,200",7.2,Good,32,Greater Noida,Deluxe Double or Twin Room,Multiple bed types,+₹ 264 taxes and charges,0,1 night, 2 adults,"₹ 2,200",False,True,2024-01-02,2024-01-03,"Airport shuttle, Room service, Restaurant, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Star Villa - 50 meters New Delhi Railway Station,"₹ 1,300",5.4,Review score,31,"Paharganj, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,+₹ 156 taxes and charges,0,1 night, 2 adults,"₹ 2,600",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Parking, Free WiFi, 24-hour front desk, Terrace, Breakfast"
Savoy Suites Greater Noida,"₹ 20,000",7.0,Good,334,Greater Noida,One-Bedroom Suite with Kitchenette,Beds: 1 double or 2 singles,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Free parking, Facilities for disabled guests, Breakfast"
Flagship Cube Resort,"₹ 1,984",NA,NA,NA,Panchli,Classic Triple Room,1 large double bed,+₹ 270 taxes and charges,3,1 night, 2 adults,"₹ 3,052",False,True,2024-01-02,2024-01-03,Room service
Hotel Leo Saffron,"₹ 3,399",7.7,Good,103,"North Delhi, New Delhi",Deluxe Double Room,1 extra-large double bed,+₹ 408 taxes and charges,3,1 night, 2 adults,"₹ 3,399",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Breakfast"
Hotel Peace Point - 1 min walking distance from station,"₹ 1,519",6.6,Review score,309,"Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 182 taxes and charges,3,1 night, 2 adults,"₹ 3,100",True,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Terrace, Breakfast"
FabHotel F9 Sector 121,"₹ 2,334",8.4,Very good,15,Indirapuram,Deluxe Room,1 double bed,+₹ 340 taxes and charges,3,1 night, 2 adults,"₹ 2,334",False,True,2024-01-02,2024-01-03,"Room service, Free WiFi, Breakfast"
Hotel Royal Saffron,"₹ 3,699",7.4,Good,115,"West Delhi, New Delhi",Deluxe King Room,1 double bed,+₹ 444 taxes and charges,3,1 night, 2 adults,"₹ 3,699",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Very good breakfast"
The Pllazio Hotel,"₹ 11,087",7.4,Good,217,"City Center - Sector 29, Gurgaon",Neo Classic Room with 15% off on food and soft beverages,Beds: 1 double or 2 singles,"+₹ 1,996 taxes and charges",5,1 night, 2 adults,"₹ 11,087",False,True,2024-01-02,2024-01-03,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Bar, Breakfast"
Hotel Mohan International homely atmosphere,"₹ 3,285",7.1,Good,109,"Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 394 taxes and charges,3,1 night, 2 adults,"₹ 3,285",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
