hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
The Vanaashrya Sariska,"₹ 9,976",8.3,Very good,174,Tehla,Luxury Cottage,Entire bungalow • 1 bathroom • 60m²,"+₹ 1,796 taxes and charges",4,1 night, 2 adults,"₹ 9,976",True,True,2023-10-03,2023-10-04,"Free parking, Restaurant, Non-smoking rooms, Bar, Good breakfast"
Taj City Centre Gurugram,"₹ 20,500",8.7,Fabulous,"1,969","Sector 40 - 44, Gurgaon","Superior Room king bed with upgrade to Deluxe Room (Subject to avl),10% discount on food & Soft Beverages",1 extra-large double bed,"+₹ 3,690 taxes and charges",5,1 night, 2 adults,"₹ 20,500",False,True,2023-10-03,2023-10-04,"2 swimming pools, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Fabulous breakfast"
Radisson Blu Hotel New Delhi Paschim Vihar,"₹ 10,000",6.5,Review score,"1,836","Pashim Vihar, New Delhi",Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,300 taxes and charges",5,1 night, 2 adults,"₹ 10,000",False,True,2023-10-03,2023-10-04,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
The Suryaa New Delhi,"₹ 17,118",7.4,Good,"1,088","New Friends Colony, New Delhi","Club Room with complimentary breakfast, 10% Discount on F&B SPA & SALON,3 Pints of Beer at Atrium Lounge(within operational timings)",1 extra-large double bed,"+₹ 3,081 taxes and charges",5,1 night, 2 adults,"₹ 17,118",True,True,2023-10-03,2023-10-04,"2 swimming pools, Airport shuttle (free), Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Fortune Park Orange, Sidhrawali - Member ITC's Hotel Group","₹ 3,200",8.0,Very good,75,Bhiwadi,Deluxe Twin Room,2 single beds,+₹ 384 taxes and charges,4,1 night, 2 adults,"₹ 3,200",False,True,2023-10-03,2023-10-04,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hilton Garden Inn New Delhi/Saket,"₹ 18,750",7.5,Good,"1,339","Saket, New Delhi",King Guest Room,1 large double bed,"+₹ 3,375 taxes and charges",5,1 night, 2 adults,"₹ 18,750",True,True,2023-10-03,2023-10-04,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Colonel’s Retreat,"₹ 9,360",8.7,Fabulous,551,"South Delhi, New Delhi",Standard Double or Twin Room,Multiple bed types,Includes taxes and charges,3,1 night, 2 adults,"₹ 9,360",True,True,2023-10-03,2023-10-04,"Airport shuttle, Non-smoking rooms, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, Terrace, Laundry, Tea/coffee maker in all rooms, Fabulous breakfast"
Trident Gurgaon,"₹ 23,400",9.1,Superb,"1,077","Udyog Vihar, Gurgaon",Superior Double or Twin Room with Garden View,1 extra-large double bed,"+₹ 4,212 taxes and charges",5,1 night, 2 adults,"₹ 23,400",False,False,2023-10-03,2023-10-04,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Fabulous breakfast"
Southwest Inn - Boutique Hotel,"₹ 6,100",6.2,Review score,308,"Dwarka, New Delhi",Superior Double or Twin Room,1 large double bed,+₹ 732 taxes and charges,3,1 night, 2 adults,"₹ 6,100",False,True,2023-10-03,2023-10-04,NA
Heritage Village Resort & Spa Manesar-Gurgaon,"₹ 21,999",8.2,Very good,592,"IMT Manesar, Gurgaon",Heritage Superior Room - Complimentary Evening Hi-Tea & Snacks with Live Music,1 double bed,"+₹ 3,960 taxes and charges",5,1 night, 2 adults,"₹ 21,999",True,True,2023-10-03,2023-10-04,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Four Points by Sheraton New Delhi, Airport Highway","₹ 11,500",7.9,Good,386,"South West, New Delhi",Guest room with Twin/Single Bed(s),2 single beds,"+₹ 2,070 taxes and charges",4,1 night, 2 adults,"₹ 11,500",False,True,2023-10-03,2023-10-04,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Fitness centre, Facilities for disabled guests, 24-hour front desk, Garden, Tea/coffee maker in all rooms, Good breakfast"
